1, A, 107, 8.623066, -17.454634, -23.121433;
1, A, 108, 18.035463, -21.661917, 3.306253;
1, A, 109, 39.392071, -41.462204, -5.800836;
1, A, 110, 66.206978, -47.560898, -25.764946;
1, A, 111, 73.526901, -35.058197, -6.709311;
1, A, 112, 73.325844, -35.765617, 19.748161;
1, A, 113, 74.323677, -26.353222, 28.818018;
1, A, 114, 77.466110, -14.684530, 34.819912;
1, A, 115, 81.531906, -16.449354, 30.701986;
1, A, 116, 57.241371, -20.135380, 16.225960;
1, A, 117, 37.478317, -16.114262, 1.541429;
1, A, 118, 22.466139, -15.615345, -12.323984;
1, A, 119, -0.901028, -14.163274, -20.671530;
1, A, 120, -16.605732, -1.883969, -30.977509;
1, A, 121, -39.027191, 0.104251, -37.321941;
1, A, 122, -47.054535, -1.459517, -52.810692;
1, A, 123, -37.143223, 17.335489, -53.406414;
1, A, 124, -39.042084, 15.883419, -35.236916;
1, A, 125, -7.803949, -17.417402, -26.718100;
1, A, 126, 2.092471, 1.131871, -14.580279;
1, A, 127, 6.463576, 8.392224, -28.907377;
1, A, 128, 29.026520, -17.320597, -45.163120;
1, A, 129, 49.266151, -39.086765, -59.981689;
1, A, 130, 47.076878, -35.966675, -49.765068;
1, A, 131, 36.592182, -32.854031, -33.084873;
1, A, 132, 25.660696, -28.914824, 1.846736;
1, A, 133, 24.729881, -37.009186, 2.747765;
1, A, 134, 44.939728, -61.523117, -32.764671;
1, A, 135, 66.676109, -50.591633, -38.021912;
1, A, 136, 80.310677, -53.220253, -22.808680;
1, A, 137, 98.435501, -70.056824, -22.652302;
1, A, 138, 95.293068, -52.617085, -9.457076;
1, A, 139, 82.216988, -39.987793, 6.471023;
1, A, 140, 77.242714, -46.012024, 6.024232;
1, A, 141, 63.444321, -40.203743, 9.047518;
1, A, 142, 37.202797, -20.671530, 15.287698;
1, A, 143, 20.619404, -11.504868, 20.455580;
1, A, 144, 3.738151, -7.223121, 27.231911;
1, A, 145, -10.730430, -1.735038, 12.606952;
1, A, 146, -26.345776, 19.003510, 0.834010;
1, A, 147, 25.913877, -13.083529, -83.311623;
1, A, 148, 43.956787, -34.507156, -66.832481;
1, A, 149, 20.872585, -36.056030, -45.647144;
1, A, 150, 21.460859, -11.631458, -22.950163;
1, A, 151, 27.634022, 5.264687, -23.292704;
1, A, 152, 50.204414, -30.761559, -41.194130;
1, A, 153, 60.227425, -40.576069, -53.681934;
1, A, 154, 69.833427, -49.437420, -61.247597;
1, A, 155, 58.849819, -43.577015, -57.747734;
1, A, 156, 30.188177, -43.517441, -44.716331;
1, A, 157, 25.042635, -40.233528, -33.263588;
1, A, 158, 38.602741, -50.666096, -22.078920;
1, A, 159, 82.328682, -62.282661, -40.248421;
1, A, 160, 107.036224, -68.299446, -35.728386;
1, A, 161, 115.078461, -65.938904, -7.692251;
1, A, 162, 87.980591, -46.972626, 30.888149;
1, A, 163, 41.551559, 20.574724, 44.790794;
1, A, 164, 39.302711, 5.056185, 33.725273;
1, A, 165, 36.808128, -11.214454, 17.834406;
1, A, 166, 21.922544, -16.881252, 4.237068;
1, A, 167, 12.271859, -18.013123, -10.298532;
1, A, 168, -2.993500, -20.060915, -16.456800;
1, A, 169, -34.767784, -4.966826, -3.462630;
1, A, 170, -71.814201, 20.984283, 11.207007;
1, A, 171, -87.853996, 35.810295, -10.581500;
1, A, 172, -62.379467, 32.384899, -33.978455;
1, A, 173, -42.772789, 12.748436, -26.978729;
1, A, 174, -19.770500, -17.149326, -24.402233;
1, A, 175, -20.768333, 1.697806, -3.447737;
1, A, 176, -25.064974, 26.234077, -9.330485;
1, A, 177, -4.050905, 11.184668, -26.874477;
1, A, 178, 29.696707, -24.193731, -45.125889;
1, A, 179, 7.305033, -21.416182, -34.708214;
1, A, 180, -4.259408, -26.159613, -29.383953;
1, A, 181, 4.847682, -31.320047, -18.504593;
1, A, 182, 25.452192, -37.865536, -10.045350;
1, A, 183, 68.939850, -54.605305, -24.372448;
1, A, 184, 112.122192, -41.380291, -18.750328;
1, A, 185, 128.780060, -41.372845, 2.762658;
1, A, 186, 127.402451, -66.527176, 14.982390;
1, A, 187, 110.416946, -61.158237, 18.705648;
1, A, 188, 67.718620, -15.347270, 30.508377;
1, A, 189, 76.587418, -38.155949, 10.626179;
1, A, 190, 43.323833, -27.663809, 10.797449;
1, A, 191, 18.504593, -16.940825, 9.628345;
1, A, 192, 13.306925, -12.271859, -5.138096;
1, A, 193, 3.425397, -12.703757, -21.006622;
1, A, 194, -42.467484, 0.320200, -44.053589;
1, A, 195, -36.383678, 22.488480, -51.835201;
1, A, 196, -37.254921, 36.137943, -19.264137;
1, A, 197, -41.521774, 39.459091, -3.954100;
1, A, 198, -11.072969, 6.962493, -9.985779;
1, A, 199, 6.061464, 5.919981, -26.613850;
1, A, 200, 15.622791, 1.042512, -46.205635;
1, A, 201, 30.530716, -20.396008, -53.287270;
1, A, 202, 26.003235, -20.716208, -45.945007;
1, A, 203, 14.327097, -8.094363, -28.110600;
1, A, 204, -2.531816, -12.808008, -25.891537;
1, A, 205, -18.109928, -13.887753, -20.448133;
1, A, 206, -5.666799, -27.403179, -3.447737;
1, A, 207, 50.375683, -51.514999, -19.800287;
1, A, 208, 97.489792, -40.739891, -22.131046;
1, A, 209, 91.949585, -51.165012, 16.382336;
1, A, 210, 51.678822, -33.807182, 44.552505;
1, A, 211, 42.504715, -12.882473, 54.947845;
1, A, 212, 45.207802, -19.018402, 37.530441;
1, A, 213, 27.730827, -27.142551, 24.297983;
1, A, 214, 16.620625, -22.123600, 17.261024;
1, A, 215, 7.781610, -15.391950, 11.512314;
1, A, 216, -8.973052, -6.493362, 3.700919;
1, A, 217, -22.056581, 4.698752, -1.176550;
1, A, 218, -47.478989, 20.515152, -16.315317;
1, A, 219, -58.887051, 22.443800, -43.294044;
1, A, 220, -43.011078, 19.651356, -41.916439;
1, A, 221, -52.557510, 26.881924, -14.811121;
1, A, 222, -45.520554, 31.565783, -9.315592;
1, A, 223, -31.677481, 30.858364, -14.453689;
1, A, 224, -22.458693, 12.681417, -33.017853;
1, A, 225, -3.924314, 0.915922, -45.997131;
1, A, 226, -13.180334, 3.462630, -32.615742;
1, A, 227, -19.859859, 2.464797, -21.274696;
1, A, 228, -11.184668, 2.278634, -1.288247;
1, A, 229, 7.252907, 12.137821, 18.340769;
1, A, 230, 38.438919, 0.439344, 16.791895;
1, A, 231, 72.462051, -9.851741, 18.646076;
1, A, 232, 92.262337, -17.536547, 39.846310;
1, A, 233, 84.994537, -21.103428, 47.032196;
1, A, 234, 63.615589, -18.951384, 42.653645;
1, A, 235, 51.946899, -15.421735, 43.554672;
1, A, 236, 36.711327, -25.601124, 20.314096;
1, A, 237, -0.260628, -13.954772, 24.305429;
1, A, 238, -13.001617, -7.848628, 24.074587;
1, A, 239, -24.365002, -2.092471, 11.251686;
1, A, 240, -29.704153, -0.282968, 3.559435;
1, A, 241, -95.665398, 29.235023, -10.000671;
1, A, 242, -79.744743, 32.526382, -35.512436;
