7, A, 72823, 0.577166, -3.964965, -5.544115;
7, A, 72824, 1.712943, -4.341929, -6.151555;
7, A, 72825, 2.252998, -4.770653, -7.916257;
7, A, 72826, 2.036195, -4.714988, -9.134068;
7, A, 72827, 1.556688, -3.921995, -8.984650;
7, A, 72828, 2.193426, -2.390698, -8.583270;
7, A, 72829, 3.598743, -2.459059, -7.435774;
7, A, 72830, 7.198462, -2.442457, -6.347850;
7, A, 72831, 4.418104, -2.077212, -5.258950;
7, A, 72832, 4.741355, -2.270577, -4.937651;
7, A, 72833, 3.565538, -1.994201, -5.416181;
7, A, 72834, 4.408338, -2.151433, -5.774590;
7, A, 72835, 3.863399, -3.318461, -6.666219;
7, A, 72836, 4.473769, -2.966887, -9.023713;
7, A, 72837, 5.204260, -4.150517, -9.346965;
7, A, 72838, 5.534348, -4.118290, -10.071596;
7, A, 72839, 5.502121, -1.169958, -10.429029;
7, A, 72840, 4.192511, -4.120243, -8.126225;
7, A, 72841, 4.377087, -5.166173, -7.043184;
7, A, 72842, 3.186621, -4.907376, -6.146672;
7, A, 72843, 2.224677, -4.347789, -5.962096;
7, A, 72844, 0.930692, -4.251106, -5.391766;
7, A, 72845, 0.599628, -4.784326, -4.487442;
7, A, 72846, 0.993194, -4.567522, -4.979644;
7, A, 72847, 1.200232, -4.219855, -5.819513;
7, A, 72848, 2.367260, -4.866359, -7.027558;
7, A, 72849, 1.984436, -4.854640, -8.172125;
7, A, 72850, 5.664235, -1.001984, -9.855769;
7, A, 72851, 5.555834, -1.038118, -8.944609;
7, A, 72852, 3.195410, -2.641682, -6.210150;
7, A, 72853, 2.800867, -1.870174, -6.423048;
7, A, 72854, 0.570330, -1.605518, -5.892758;
7, A, 72855, 1.418989, -2.032289, -5.581225;
7, A, 72856, 3.188574, -1.631886, -6.460158;
7, A, 72857, 4.987457, -1.129917, -7.063692;
7, A, 72858, 6.161321, -1.667043, -7.395733;
7, A, 72859, 4.621235, -1.652394, -7.739494;
7, A, 72860, 4.302866, -3.155370, -8.835231;
7, A, 72861, 4.493301, -4.588031, -8.253181;
7, A, 72862, 2.920988, -2.390698, -8.724875;
