epoch,accuracy,loss,mean_absolute_error,val_accuracy,val_loss,val_mean_absolute_error
0,0.6298528909683228,0.962593674659729,0.18486587703227997,0.6931114196777344,0.8024421334266663,0.1765516698360443
1,0.707338273525238,0.736424446105957,0.15726475417613983,0.6727007627487183,0.802342414855957,0.1706828624010086
2,0.723159909248352,0.7016903758049011,0.1507185399532318,0.679261326789856,0.7867918610572815,0.1692240983247757
3,0.7310898303985596,0.684969425201416,0.14722266793251038,0.6969991326332092,0.7533753514289856,0.1641044318675995
4,0.7384227514266968,0.6686538457870483,0.14406874775886536,0.6578787565231323,0.8224478960037231,0.17146112024784088
5,0.7422996759414673,0.661088764667511,0.1419692188501358,0.6922609806060791,0.7637050747871399,0.16066032648086548
6,0.7458857893943787,0.6549175381660461,0.14060096442699432,0.6957842111587524,0.7488062977790833,0.15640486776828766
7,0.7665143609046936,0.6219989657402039,0.12958356738090515,0.7644271850585938,0.6771519184112549,0.13271185755729675
8,0.8037146925926208,0.5588440299034119,0.11192407459020615,0.7799781560897827,0.629038393497467,0.12412281334400177
9,0.825728714466095,0.5235320925712585,0.10175170749425888,0.800388753414154,0.5914206504821777,0.1166214570403099
10,0.8335361480712891,0.507417619228363,0.0971021056175232,0.790183424949646,0.6234462261199951,0.11762230098247528
11,0.8421779870986938,0.4918162226676941,0.09308850765228271,0.7982019186019897,0.5883086919784546,0.11288870871067047
12,0.849575936794281,0.4792223870754242,0.08899762481451035,0.8073137998580933,0.5840904116630554,0.10699304193258286
13,0.8542298078536987,0.4682128429412842,0.0861557200551033,0.7818005084991455,0.6397303938865662,0.1139010488986969
14,0.8573068976402283,0.45617979764938354,0.08401324599981308,0.8217713236808777,0.5391108989715576,0.10227802395820618
15,0.8801054954528809,0.3948236405849457,0.07574264705181122,0.8348924517631531,0.5153136849403381,0.09641317278146744
16,0.8805838823318481,0.3896064758300781,0.07519891113042831,0.8364718556404114,0.512381374835968,0.0966959074139595
17,0.8813684582710266,0.3865378499031067,0.07473085820674896,0.8385372161865234,0.49583691358566284,0.09577064961194992
18,0.8818085789680481,0.38360169529914856,0.07424719631671906,0.8337990641593933,0.5180667638778687,0.09655773639678955
19,0.8824859857559204,0.38145917654037476,0.07387315481901169,0.8393876552581787,0.49217963218688965,0.09390146285295486
20,0.8826390504837036,0.3802599310874939,0.07355765253305435,0.8358644247055054,0.4994048774242401,0.09410350769758224
21,0.8830753564834595,0.37916767597198486,0.07338136434555054,0.8300328254699707,0.5164505839347839,0.0952000617980957
22,0.8836035132408142,0.3770115375518799,0.07303912192583084,0.8364718556404114,0.5030035376548767,0.09382080286741257
23,0.8848397135734558,0.3746206760406494,0.07251894474029541,0.8431539535522461,0.4907452166080475,0.09246078878641129
24,0.8843077421188354,0.3733260929584503,0.07220124453306198,0.8342850208282471,0.49939650297164917,0.09379807859659195
25,0.8849392533302307,0.3725430965423584,0.07221445441246033,0.8426679372787476,0.48593029379844666,0.09271255880594254
26,0.8854482173919678,0.3715600371360779,0.07194236665964127,0.8395091891288757,0.49116581678390503,0.09225015342235565
27,0.8858692049980164,0.37074849009513855,0.07169941067695618,0.8466771841049194,0.4775541126728058,0.09107568860054016
28,0.8857314586639404,0.36843764781951904,0.0713675245642662,0.8478921055793762,0.4748978614807129,0.09031964093446732
29,0.886343777179718,0.3661024272441864,0.07092420756816864,0.832948625087738,0.4998352527618408,0.09253518283367157
